integer_key,column_name,reference_name,display_name,short_display_name,Description,value_mappings
1,c_1,esn,ESN,ESN,Electronic Serial Number (ESN),
2,c_2,subvendor,subvendor code,subvendor,Subvendor Code,
3,c_3,mdn,MDN,MDN,Mobile Directory Number (MDN),
4,c_4,wimaxbasebandchip,Wimax Baseband Chip,wimaxbasebandchip,wimaxbasebandchip,
5,c_5,wimaxcalibrationstatus,Wimax Calibration Status,wimaxcalibrationstatus,wimaxcalibrationstatus,"{ ""0"": ""false"", ""1"": ""true""}"
6,c_6,wimaxlibraryversion,wimaxlibraryversion,wimaxlibraryversion,wimaxlibraryversion,
7,c_7,wimaxrfchipversion,Wimax Rf Chip Version,wimaxrfchipversion,wimaxrfchipversion,
8,c_8,softwarebuildtype,Software Build Type,softwarebuildtype,softwarebuildtype,"{ ""0"": ""false"", ""1"": ""true""}"
9,c_9,prlversiondateacquired,Prl Version Date Acquired,prlversiondateacquired,prlversiondateacquired,
10,c_10,prlversionmethodacquired,Prl Version Method Acquired,prlversionmethodacquired,prlversionmethodacquired,
11,c_11,internationalroaming,International Roaming,internationalroaming,internationalroaming,"{ ""0"": ""false"", ""1"": ""true""}"
12,c_12,fwversion,FW Version,fwversion,fwversion,
13,c_13,wifimanagementstatus,Wifi Management Status,wifimanagementstatus,wifimanagementstatus,"{ ""0"": ""false"", ""1"": ""true""}"
14,c_14,driverversion,Driver Version,driverversion,driverversion,
15,c_15,wwanmanagementstatus,Wwan Management Status,wwanmanagementstatus,wwanmanagementstatus,"{ ""0"": ""false"", ""1"": ""true""}"
16,c_16,bminstalled,BM Installed,bminstalled,bminstalled,"{ ""0"": ""false"", ""1"": ""true""}"
17,c_17,bmaccelerationonoff,BM Acceleration on/off state,bmaccelerationonoff,bmaccelerationonoff,"{ ""0"": ""false"", ""1"": ""true""}"
18,c_18,bmaccelerationlevel,BM Acceleration Level,bmaccelerationlevel,bmaccelerationlevel,
19,c_19,imsi,International Mobile Subscriber Identifier (IMSI),imsi,International Mobile Subscriber Identifier (IMSI),
20,c_20,apn,APN,apn,apn,
21,c_21,wificonectionfailurescount,Wifi Conection Failure Count,wificonectionfailurescount,wificonectionfailurescount,
22,c_22,wwanconectionfailurescount,Wwan Conection Failure Count,wwanconectionfailurescount,wwanconectionfailurescount,
23,c_23,wimaxmanagementstatus,wimax Management Status,wimaxmanagementstatus,wimaxmanagementstatus,"{ ""0"": ""false"", ""1"": ""true""}"
24,c_24,wimaxconnectionsuccesscount,Wimax Connection Success Count,wimaxconnectionsuccesscount,wimaxconnectionsuccesscount,
25,c_25,wimaxconnectionfailurecount,Wimax Connection Failure Count,wimaxconnectionfailurecount,wimaxconnectionfailurecount,
26,c_26,wimaxfirstconnecttimestamp,Wimax First Connect Timestamp,wimaxfirstconnecttimestamp,wimaxfirstconnecttimestamp,
27,c_27,wimaxlastconnecttimestamp,wimaxlastconnecttimestamp,wimaxlastconnecttimestamp,wimaxlastconnecttimestamp,
28,c_28,vpnmanagementstatus,VPN Management Status,vpnmanagementstatus,vpnmanagementstatus,"{ ""0"": ""false"", ""1"": ""true""}"
29,c_29,msid,MSID,msid,msid,
30,c_30,wlandevicemacaddress,Wlan Device MAC Address,wlandevicemacaddress,wlandevicemacaddress,
31,c_31,nai,NAI,nai,nai,
32,c_32,homeoperatorid,Home Operator Id,homeoperatorid,homeoperatorid,
33,c_33,imei,IMEI,imei,imei,
34,c_34,wifimanagementused,Wifi Management Used,wifimanagementused,wifimanagementused,
35,c_35,prlversion,PRL version,prlversion,prlversion,
36,c_36,manufacturer,Manufacturer,manufacturer,manufacturer,
37,c_37,modemmodel,Modem Model,modemmodel,modemmodel,
38,c_38,modemrevision,Modem Revision,modemrevision,modemrevision,
39,c_39,fwversiondateacquired,FW Version Date Acquired,fwversiondateacquired,fwversiondateacquired,
40,c_40,wimaxmacid,Wimax MAC Id,wimaxmacid,wimaxmacid,
41,c_41,wimaxdriverversion,Wimax Driver Version,wimaxdriverversion,wimaxdriverversion,
42,c_42,clientversion,Client Version,clientversion,clientversion,
